Date,Client,Contat_Name,First_Name,Last_Name,Department,Province,Payment_Method,Revenue,Profit,Profit_Margin,Data_Quality_Notes (Profit),Data_Quality_Notes (Profit_Margin)
5/11/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Transfer,6950,1172,0.168633094,,
9/24/2022,AMAZON.CO ,Pedro Alves,Pedro,Alves,Sales,Benguela,PayPal,4876,1075,0.220467596,,
9/28/2023,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Finance,Luanda,Cash,4547,933,0.205190235,,
9/25/2022,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,PayPal,7642,924,0.120910756,,
12/5/2023,ARZAMART ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Cash,5881,1768,0.300629145,,
10/1/2023,"TESLA, INC. ",Marta Silva,Marta,Silva,IT,Luanda,Cash,4541,701,0.154371284,,
12/29/2022,"TESLA, INC. ",Luiz Fernando,Luiz,Fernando,Logistics,Huambo,Cash,5236,1943,0.371084798,,
5/24/2022,WALMART INTL ,Jose Manuel,Jose,Manuel,Sales,Benguela,Card,6597,1490,0.22586024,,
8/6/2022,MAXI CASH ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,PayPal,4443,1403,0.315777628,,
8/13/2022,"TESLA, INC. ",Pedro Alves,Pedro,Alves,Logistics,Huambo,Cash,5860,607,0.103583618,,
8/16/2023,AMAZON.CO ,Marta Silva,Marta,Silva,Sales,Benguela,Card,7080,1810,0.255649718,,
5/24/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Logistics,Huambo,PayPal,5260,1408,0.267680608,,
3/10/2022,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Finance,Luanda,Transfer,5842,1718,0.294077371,,
12/2/2023,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,PayPal,5998,1031,0.17189063,,
1/28/2023,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Finance,Luanda,PayPal,3166,1260,0.397978522,,
7/14/2022,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Logistics,Luanda,PayPal,6451,1491,0.231126957,,
12/10/2022,KERO ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,Card,5441,1559,0.286528212,,
6/16/2022,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Finance,Luanda,Transfer,6021,1027,0.170569673,,
11/22/2023,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,IT,Luanda,Cash,6114,541,0.088485443,,
3/7/2022,"TESLA, INC. ",Pedro Alves,Pedro,Alves,Sales,Luanda,Cash,4193,1929,0.460052468,,
11/21/2023,"TESLA, INC. ",Jose Manuel,Jose,Manuel,IT,Luanda,Cash,5910,686,0.11607445,,
2/14/2023,"TESLA, INC. ",Pedro Alves,Pedro,Alves,Logistics,Huambo,Transfer,4817,735,0.152584596,,
6/30/2022,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Transfer,4629,672,0.145171743,,
12/17/2023,"TESLA, INC. ",Pedro Alves,Pedro,Alves,Sales,Luanda,Cash,5852,829,0.141660971,,
7/17/2022,AMAZON.CO ,Pedro Alves,Pedro,Alves,Sales,Benguela,Card,4919,1900,0.386257369,,
2/3/2024,KERO ,Ana Paula,Ana,Paula,Sales,Luanda,PayPal,7616,1489,0.195509454,,
3/7/2022,"TESLA, INC. ",Carlos Miguel,Carlos,Miguel,Sales,Luanda,Transfer,7459,1145,0.153505832,,
4/9/2023,KERO ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,Cash,4113,1039,0.252613664,,
9/22/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,IT,Luanda,Card,3312,1744,0.526570048,,
8/13/2023,KERO ,Luiz Fernando,Luiz,Fernando,Logistics,Huambo,PayPal,7569,1426,0.188400053,,
3/13/2022,WALMART INTL ,Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Transfer,4393,1684,0.383337127,,
8/29/2022,ARZAMART ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,Transfer,5140,1903,0.370233463,,
1/31/2023,ARZAMART ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Card,3289,827,0.251444208,,
10/6/2022,KERO ,Pedro Alves,Pedro,Alves,Logistics,Huambo,Cash,6146,631,0.102668402,,
7/31/2023,SHOPRITE ANGOLA ,Marta Silva,Marta,Silva,Sales,Benguela,PayPal,5702,1818,0.318835496,,
6/24/2023,NOSSO SUPERMERCADO ,Carlos Miguel,Carlos,Miguel,Sales,Benguela,Cash,4462,1992,0.446436576,,
12/19/2023,MAXI CASH ,Ana Paula,Ana,Paula,IT,Luanda,Cash,6676,1306,0.195626123,,
5/8/2023,MAXI CASH ,Marta Silva,Marta,Silva,Logistics,Huambo,Card,4772,643,0.134744342,,
10/13/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Sales,Luanda,Transfer,7989,1669,0.208912254,,
6/23/2022,AMAZON.CO ,Ana Paula,Ana,Paula,Finance,Luanda,Card,6251,1421,0.227323628,,
3/22/2022,KERO ,Jose Manuel,Jose,Manuel,Logistics,Luanda,PayPal,5236,589,0.112490451,,
6/3/2022,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,IT,Luanda,Card,6848,1540,0.224883178,,
10/13/2023,MAXI CASH ,Luiz Fernando,Luiz,Fernando,IT,Luanda,PayPal,5143,1062,0.206494264,,
12/1/2022,MAXI CASH ,Jose Manuel,Jose,Manuel,Sales,Benguela,Transfer,5463,1362,0.249313564,,
7/2/2022,KERO ,Jose Manuel,Jose,Manuel,Sales,Luanda,Card,3931,1046,0.266090053,,
9/3/2023,AMAZON.CO ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,Cash,6312,1947,0.308460076,,
8/8/2022,"TESLA, INC. ",Marta Silva,Marta,Silva,Finance,Luanda,Cash,5377,1283,0.23860889,,
4/27/2022,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Cash,7120,1500,0.210674157,,
2/11/2022,WALMART INTL ,Luiz Fernando,Luiz,Fernando,IT,Luanda,PayPal,5742,1425,0.248171369,,
10/31/2023,MAXI CASH ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Transfer,6947,1548,0.222829999,,
7/9/2022,KERO ,Marta Silva,Marta,Silva,Logistics,Huambo,Transfer,7481,1693,0.226306643,,
11/20/2022,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Card,4553,1357,0.298045245,,
8/6/2022,NOSSO SUPERMERCADO ,Marta Silva,Marta,Silva,Sales,Benguela,Card,4047,1400,0.345935261,,
1/9/2024,AMAZON.CO ,Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Cash,3497,1085,0.310265942,,
2/4/2022,MAXI CASH ,Ana Paula,Ana,Paula,Sales,Luanda,Cash,6472,663,0.102441286,,
9/12/2023,KERO ,Marta Silva,Marta,Silva,Logistics,Huambo,Card,7350,1651,0.22462585,,
1/3/2023,WALMART INTL ,Ana Paula,Ana,Paula,IT,Luanda,Card,4130,962,0.232929782,,
4/23/2022,MAXI CASH ,Ana Paula,Ana,Paula,IT,Luanda,Card,3991,989,0.247807567,,
11/30/2023,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Sales,Benguela,Cash,3094,1549,0.500646412,,
6/9/2022,"TESLA, INC. ",Jose Manuel,Jose,Manuel,Finance,Luanda,PayPal,5309,617,0.116217743,,
2/15/2022,AMAZON.CO ,Marta Silva,Marta,Silva,IT,Luanda,PayPal,6380,658,0.103134796,,
5/2/2022,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,Logistics,Luanda,Cash,4229,567,0.134074249,,
1/7/2022,ARZAMART ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Cash,3880,1220,0.31443299,,
3/23/2023,KERO ,Pedro Alves,Pedro,Alves,Sales,Luanda,PayPal,7201,1105,0.15345091,,
8/15/2023,KERO ,Ana Paula,Ana,Paula,Sales,Luanda,PayPal,5259,730,0.13880966,,
6/9/2023,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Cash,5087,561,0.110281109,,
5/5/2022,AMAZON.CO ,Pedro Alves,Pedro,Alves,Sales,Benguela,Cash,5700,1843,0.323333333,,
10/3/2022,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,Card,6310,1742,0.276069731,,
9/4/2022,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Sales,Luanda,Transfer,7021,1848,0.263210369,,
8/12/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Transfer,4636,566,0.122088007,,
11/2/2023,WALMART INTL ,Carlos Miguel,Carlos,Miguel,Logistics,Luanda,Cash,3799,1678,0.441695183,,
10/12/2022,KERO ,Ana Paula,Ana,Paula,Sales,Benguela,Card,4587,1090,0.237628079,,
4/26/2022,NOSSO SUPERMERCADO ,Carlos Miguel,Carlos,Miguel,Sales,Benguela,Card,7684,745,0.096954711,,
2/27/2024,KERO ,Pedro Alves,Pedro,Alves,Finance,Luanda,Card,7370,532,0.072184532,,
5/22/2023,"TESLA, INC. ",Pedro Alves,Pedro,Alves,Sales,Luanda,Cash,3657,1487,0.406617446,,
5/6/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Finance,Luanda,PayPal,7103,541,0.076165001,,
12/17/2023,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Sales,Luanda,PayPal,3630,1926,0.530578512,,
2/20/2023,KERO ,Jose Manuel,Jose,Manuel,Finance,Luanda,Transfer,6235,1761,0.282437851,,
5/2/2024,AMAZON.CO ,Ana Paula,Ana,Paula,Logistics,Huambo,Cash,4274,641,0.149976603,,
12/6/2023,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Finance,Luanda,PayPal,4881,1330,0.272485146,,
3/30/2023,SHOPRITE ANGOLA ,Marta Silva,Marta,Silva,Finance,Luanda,PayPal,5429,669,0.123227114,,
5/19/2022,AMAZON.CO ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Transfer,4467,591,0.132303559,,
2/22/2022,KERO ,Pedro Alves,Pedro,Alves,IT,Luanda,Card,7719,566,0.07332556,,
1/6/2024,MAXI CASH ,Ana Paula,Ana,Paula,Sales,Benguela,PayPal,5973,893,0.149506111,,
6/19/2022,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Logistics,Huambo,Cash,3327,1621,0.487225729,,
5/3/2022,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Logistics,Luanda,PayPal,5688,1461,0.25685654,,
5/6/2023,SHOPRITE ANGOLA ,Marta Silva,Marta,Silva,Logistics,Luanda,Cash,7933,950,0.119752931,,
6/15/2022,MAXI CASH ,Carlos Miguel,Carlos,Miguel,Sales,Benguela,Card,7164,1404,0.195979899,,
6/22/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Cash,6330,1579,0.249447077,,
1/20/2022,"TESLA, INC. ",Jose Manuel,Jose,Manuel,Logistics,Huambo,Card,5144,1297,0.252138414,,
2/20/2023,WALMART INTL ,Carlos Miguel,Carlos,Miguel,Finance,Luanda,PayPal,5351,1527,0.285367221,,
9/26/2023,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,IT,Luanda,Cash,4751,777,0.163544517,,
2/25/2024,"TESLA, INC. ",Ana Paula,Ana,Paula,Sales,Luanda,Card,4937,1891,0.383026129,,
10/18/2022,"TESLA, INC. ",Marta Silva,Marta,Silva,Logistics,Luanda,PayPal,4246,1848,0.435233161,,
7/23/2023,AMAZON.CO ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,Card,7941,1638,0.20627125,,
7/16/2023,KERO ,Pedro Alves,Pedro,Alves,Logistics,Huambo,Card,7224,679,0.093992248,,
11/28/2022,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,Logistics,Luanda,Cash,5506,1151,0.209044679,,
1/8/2022,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,IT,Luanda,Card,3083,1878,0.609146935,,
2/26/2023,"TESLA, INC. ",Carlos Miguel,Carlos,Miguel,Finance,Luanda,Card,5144,1807,0.351283048,,
3/13/2023,"TESLA, INC. ",Jose Manuel,Jose,Manuel,IT,Luanda,Cash,3805,1558,0.409461235,,
6/23/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Sales,Benguela,PayPal,7164,1097,0.153126745,,
12/27/2023,ARZAMART ,Ana Paula,Ana,Paula,Sales,Luanda,Card,7099,1712,0.241160727,,
11/1/2022,WALMART INTL ,Ana Paula,Ana,Paula,Logistics,Luanda,Card,7870,1917,0.243583227,,
12/22/2022,SHOPRITE ANGOLA ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Transfer,6352,1790,0.281801008,,
8/18/2023,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Sales,Luanda,Card,5677,1047,0.184428395,,
12/4/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Sales,Benguela,Cash,4352,1735,0.398667279,,
1/19/2024,WALMART INTL ,Marta Silva,Marta,Silva,Sales,Benguela,PayPal,6242,1787,0.286286447,,
1/22/2023,SHOPRITE ANGOLA ,Luiz Fernando,Luiz,Fernando,Sales,Luanda,Cash,3894,632,0.162300976,,
12/9/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Finance,Luanda,PayPal,4509,1391,0.308494123,,
12/23/2022,ARZAMART ,Ana Paula,Ana,Paula,Sales,Benguela,Cash,6755,884,0.130866025,,
6/4/2022,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Sales,Luanda,PayPal,3368,1942,0.576603325,,
11/3/2022,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Sales,Luanda,Transfer,5976,1201,0.200970549,,
2/27/2023,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,PayPal,4302,1523,0.354021385,,
2/11/2024,WALMART INTL ,Ana Paula,Ana,Paula,Logistics,Huambo,Card,4094,699,0.170737665,,
5/30/2023,ARZAMART ,Marta Silva,Marta,Silva,Sales,Luanda,Transfer,7544,1950,0.258483563,,
3/3/2023,MAXI CASH ,Marta Silva,Marta,Silva,Sales,Benguela,Card,4179,789,0.188801149,,
12/5/2023,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Finance,Luanda,Card,5523,1411,0.255477096,,
4/26/2022,KERO ,Carlos Miguel,Carlos,Miguel,Sales,Luanda,Cash,4201,968,0.230421328,,
9/9/2023,MAXI CASH ,Marta Silva,Marta,Silva,Logistics,Luanda,Transfer,7604,1464,0.192530247,,
11/17/2023,"TESLA, INC. ",Marta Silva,Marta,Silva,Logistics,Luanda,PayPal,6432,922,0.143345771,,
9/4/2022,"TESLA, INC. ",Carlos Miguel,Carlos,Miguel,Finance,Luanda,Card,7509,1238,0.164868824,,
6/5/2023,KERO ,Carlos Miguel,Carlos,Miguel,Sales,Benguela,Cash,5597,1387,0.247811327,,
5/23/2023,NOSSO SUPERMERCADO ,Jose Manuel,Jose,Manuel,Sales,Luanda,Cash,7900,1339,0.169493671,,
6/19/2023,MAXI CASH ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Cash,4981,1506,0.302348926,,
1/30/2022,NOSSO SUPERMERCADO ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Cash,5009,1107,0.221002196,,
8/6/2023,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Logistics,Luanda,PayPal,3304,1463,0.44279661,,
6/29/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,IT,Luanda,PayPal,6645,958,0.144168548,,
2/5/2023,MAXI CASH ,Ana Paula,Ana,Paula,Finance,Luanda,Card,4240,1697,0.400235849,,
8/15/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,Finance,Luanda,Cash,6992,1694,0.242276888,,
10/7/2023,"TESLA, INC. ",Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Card,4110,1048,0.254987835,,
1/14/2024,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Sales,Benguela,PayPal,6097,1019,0.167131376,,
10/8/2023,WALMART INTL ,Jose Manuel,Jose,Manuel,Finance,Luanda,Cash,5658,1537,0.27165076,,
11/12/2022,ARZAMART ,Marta Silva,Marta,Silva,Logistics,Huambo,Transfer,7813,1016,0.130039677,,
11/26/2023,KERO ,Marta Silva,Marta,Silva,Logistics,Huambo,Card,7321,697,0.095205573,,
9/22/2022,MAXI CASH ,Carlos Miguel,Carlos,Miguel,Logistics,Luanda,PayPal,6496,1897,0.292025862,,
12/28/2023,KERO ,Marta Silva,Marta,Silva,Logistics,Luanda,Cash,3701,1761,0.475817347,,
9/13/2022,AMAZON.CO ,Marta Silva,Marta,Silva,Finance,Luanda,Transfer,6410,1375,0.21450858,,
8/28/2022,MAXI CASH ,Pedro Alves,Pedro,Alves,Logistics,Huambo,Cash,7202,879,0.122049431,,
7/21/2023,ARZAMART ,Marta Silva,Marta,Silva,IT,Luanda,Card,7755,1486,0.191618311,,
3/16/2022,WALMART INTL ,Ana Paula,Ana,Paula,Finance,Luanda,Transfer,5534,953,0.172208168,,
9/30/2023,KERO ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Transfer,3205,1606,0.501092044,,
1/20/2024,WALMART INTL ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,PayPal,4746,1460,0.307627476,,
6/4/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Logistics,Huambo,PayPal,7992,1661,0.207832833,,
9/16/2023,MAXI CASH ,Marta Silva,Marta,Silva,Logistics,Huambo,Transfer,5288,1692,0.319969743,,
11/15/2022,MAXI CASH ,Marta Silva,Marta,Silva,Logistics,Huambo,Cash,4941,700,0.141671726,,
3/6/2023,KERO ,Ana Paula,Ana,Paula,Sales,Benguela,Transfer,6915,1896,0.274186551,,
9/19/2022,KERO ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Transfer,7173,1187,0.165481667,,
8/16/2023,MAXI CASH ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Card,3108,1564,0.503217503,,
10/5/2022,SHOPRITE ANGOLA ,Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Card,3809,1462,0.383827776,,
9/7/2023,ARZAMART ,Jose Manuel,Jose,Manuel,Sales,Luanda,Cash,6557,526,0.080219613,,
1/22/2024,"TESLA, INC. ",Ana Paula,Ana,Paula,Finance,Luanda,Cash,6299,1202,0.19082394,,
5/25/2022,NOSSO SUPERMERCADO ,Luiz Fernando,Luiz,Fernando,Logistics,Huambo,Cash,7710,758,0.098313878,,
12/22/2022,MAXI CASH ,Marta Silva,Marta,Silva,Finance,Luanda,Card,7183,1209,0.168314075,,
6/7/2023,KERO ,Luiz Fernando,Luiz,Fernando,Sales,Benguela,Cash,6726,1621,0.241005055,,
7/29/2022,SHOPRITE ANGOLA ,Pedro Alves,Pedro,Alves,Logistics,Luanda,Transfer,4427,1827,0.412694827,,
4/2/2023,ARZAMART ,Carlos Miguel,Carlos,Miguel,IT,Luanda,PayPal,3924,692,0.176350663,,
2/18/2023,NOSSO SUPERMERCADO ,Ana Paula,Ana,Paula,Sales,Benguela,Card,4784,702,0.14673913,,
3/23/2022,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Logistics,Luanda,Transfer,6525,1756,0.269118774,,
7/4/2023,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Finance,Luanda,Cash,5494,1384,0.251911176,,
4/10/2023,ARZAMART ,Luiz Fernando,Luiz,Fernando,IT,Luanda,Card,3284,1000,0.304506699,,
4/10/2022,KERO ,Jose Manuel,Jose,Manuel,IT,Luanda,Cash,7770,952,0.122522523,,
5/23/2022,SHOPRITE ANGOLA ,Pedro Alves,Pedro,Alves,IT,Luanda,Cash,7832,1991,0.254213483,,
8/2/2022,WALMART INTL ,Marta Silva,Marta,Silva,Sales,Benguela,Card,5317,1741,0.327440286,,
2/23/2023,MAXI CASH ,Jose Manuel,Jose,Manuel,Finance,Luanda,Transfer,3780,956,0.252910053,,
10/21/2023,ARZAMART ,Pedro Alves,Pedro,Alves,Finance,Luanda,Cash,5655,1064,0.188152078,,
2/25/2024,AMAZON.CO ,Carlos Miguel,Carlos,Miguel,Sales,Benguela,PayPal,7378,1641,0.222417999,,
6/6/2022,ARZAMART ,Ana Paula,Ana,Paula,IT,Luanda,Transfer,3804,1251,0.328864353,,
7/20/2023,"TESLA, INC. ",Ana Paula,Ana,Paula,Logistics,Huambo,Card,3055,1983,0.649099836,,
8/4/2023,WALMART INTL ,Marta Silva,Marta,Silva,IT,Luanda,Transfer,7263,1769,0.243563266,,
9/20/2023,KERO ,Marta Silva,Marta,Silva,Logistics,Huambo,PayPal,4973,1615,0.32475367,,
11/15/2022,"TESLA, INC. ",Carlos Miguel,Carlos,Miguel,Logistics,Huambo,Transfer,7585,992,0.130784443,,
11/18/2022,WALMART INTL ,Ana Paula,Ana,Paula,Logistics,Huambo,Transfer,6189,1231,0.198901276,,
3/29/2023,SHOPRITE ANGOLA ,Marta Silva,Marta,Silva,Finance,Luanda,Transfer,3295,1678,0.509256449,,
5/7/2022,AMAZON.CO ,Luiz Fernando,Luiz,Fernando,IT,Luanda,PayPal,4743,1750,0.36896479,,
7/26/2022,AMAZON.CO ,Pedro Alves,Pedro,Alves,Finance,Luanda,Card,7782,1188,0.152659985,,
3/24/2022,KERO ,Jose Manuel,Jose,Manuel,Sales,Luanda,Cash,6331,1228,0.193966198,,
6/21/2023,AMAZON.CO ,Ana Paula,Ana,Paula,IT,Luanda,Transfer,3160,1539,0.487025316,,
7/4/2023,AMAZON.CO ,Marta Silva,Marta,Silva,Sales,Luanda,Cash,5156,1724,0.334367727,,
12/24/2022,SHOPRITE ANGOLA ,Ana Paula,Ana,Paula,Sales,Benguela,Card,6262,1123,0.179335676,,
1/25/2024,"TESLA, INC. ",Ana Paula,Ana,Paula,Logistics,Huambo,Transfer,6076,966,0.158986175,,
9/30/2022,SHOPRITE ANGOLA ,Jose Manuel,Jose,Manuel,Sales,Luanda,PayPal,3098,1884,0.60813428,,
12/12/2022,"TESLA, INC. ",Jose Manuel,Jose,Manuel,Logistics,Luanda,Card,4245,1076,0.253474676,,
8/28/2023,SHOPRITE ANGOLA ,Luiz Fernando,Luiz,Fernando,Logistics,Luanda,Cash,6194,1198,0.19341298,,
3/11/2023,ARZAMART ,Marta Silva,Marta,Silva,Logistics,Luanda,Cash,5740,1474,0.256794425,,
7/19/2022,WALMART INTL ,Ana Paula,Ana,Paula,Finance,Luanda,Card,7243,854,0.117906945,,
9/27/2022,AMAZON.CO ,Jose Manuel,Jose,Manuel,Logistics,Huambo,Cash,5161,1680,0.32551831,,
3/15/2023,KERO ,Ana Paula,Ana,Paula,Sales,Luanda,PayPal,5730,709,0.123734729,,
1/21/2022,NOSSO SUPERMERCADO ,Pedro Alves,Pedro,Alves,Logistics,Luanda,Card,3985,867,0.217565872,,
